Unnamed: 0,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
80706,jakob ogawa,velvet light,2018,rock,mind fade pink cashmere summer nights summer nights summer nights mama house place hide kiss open wide know miss stare lyric commercial,22,0.0025062656942914,0.0025062657676708,0.0025062657828514,0.0025062660145067,0.0025062656762635,0.0510859513033729,0.0701062943997655,0.0025062658961214,0.0025062657445164,0.2238208364513424,0.0619943665684479,0.0025062658311667,0.0025062656789824,0.002506265738625,0.4198222025059016,0.0372060474905435,0.6588324488248675,0.6444119683101299,0.7530118002126509,0.1366396761133603,0.5043281121187139,0.4194012866067488,sadness,0.0285714285714285
77846,the killers,"andy, you're a star",2004,rock,field remember incredible shut shut yeah field remember incredible shut shut yeah match boys think pain drain girl promise world cause leave number locker shut shut yeah leave legacy gold plaques line shut shut yeah streets sweet face jump staffroom verdict girl promise world cause eye eye eye eye,49,0.00128369706884,0.4346903720714784,0.1681260516902967,0.0012836970872081,0.1122521590848319,0.0012836970485191,0.0316518363621509,0.0012836971496159,0.0012836971241808,0.001283697074271,0.115326894645234,0.0012836971613153,0.0012836971788564,0.121264623799517,0.0012836971463183,0.0012836970517344,0.4692949203942381,0.8056559751813962,0.2289148884687635,0.0041093117408906,0.6753915910964551,0.6045922555339065,violence,0.2285714285714285
6969,wings,with a little luck,1978,pop,little luck help damn thing work little feel explode turn inclement weather little luck clear bring land little luck turn turn inclement weather little push send rocket skywards little shake feel comet explode little luck little luck little luck little luck little luck little luck little luck little luck help little luck little luck little luck damn thing work little luck little luck little little luck little luck little luck feel explode little luck little luck little baby little luck little luck little luck send rocket skywards little luck little luck little luck shake yeah yeah little luck little luck little luck little luck help damn thing work little luck little luck little little luck little luck little luck feel explode little luck little luck little push little luck little luck little luck send rocket skywards little luck little luck little shake little luck little luck little luck feel comet explode,151,0.0078417364282844,0.0003841721297139,0.0003841721262459,0.0003841721133653,0.0151607963303205,0.4791155183542127,0.0003841721098397,0.0003841721167668,0.0241709543241097,0.0003841721367847,0.000384172124836,0.0290950284794604,0.0446231530544368,0.0003841721123844,0.0003841721152604,0.3833633272128031,0.6360879454131919,0.5180627131246314,0.0723886268962117,0.0001761133603238,0.258037922506183,0.3703507056476638,feelings,0.6
62047,diablo swing orchestra,voodoo mon amour,2012,jazz,insert needle break stand fall consider bewilder savage smile pin iron gift come pour voodoo amour voodoo amour voodoo voodoo amour voodoo amour soak breath reek mammals reality emerge present like petty laughter estrange iron gift pour voodoo amour voodoo amour voodoo voodoo amour voodoo amour voodoo amour voodoo voodoo amour voodoo amour voodoo amour voodoo voodoo amour,58,0.0953082032100555,0.00526315859678,0.005263158040361,0.0052631579156642,0.0052631578948131,0.0052631579455886,0.0052631579810288,0.0052631580021159,0.0052631580164129,0.0052631579923167,0.0052631580867742,0.0052631580766663,0.0052631579632162,0.1375717431290582,0.4752719488925874,0.0052631579015189,0.5494422181306184,0.8559085198574468,0.0007399605822897,0.5991902834008098,0.3569661995053586,0.983983483768462,sadness,0.1142857142857142
29799,emmylou harris,gulf coast highway (with willie nelson),1990,country,gulf coast highway work rail work field cold dark work rig gulf mexico thing own house road die say catch blackbird wing away heaven come sweet blue bonnet spring walk springtime home days sweet nights warm season change job come flower fade house felt work take away die say catch blackbird wing away heaven come sweet blue bonnet spring highway job go tend garden place earth blue bonnet grow year come house road catch blackbird wing away heaven come sweet blue bonnet spring catch blackbird wing away come sweet blue bonnet spring,92,0.0007412899097646,0.0007412898888477,0.0229410678561218,0.0007412898515619,0.000741289845533,0.0569649038920923,0.0286118018797207,0.0007412898689766,0.0007412898602108,0.3059468434158043,0.2697786619425615,0.2051945567641026,0.0007412898898552,0.0007412898484968,0.1016666858791753,0.0007412898651233,0.5288638579010073,0.6018255006025177,0.7479917148511194,0.0,0.3157460840890355,0.2392154790019467,music,0.4285714285714285
72423,carpenters,love me for what i am,1975,rock,fell night regret ordinary problems hard face lately little change slowly take place find wrong rearrange life please simply intend lyric commercial,22,0.0035087719354096,0.0035087720460853,0.2284493860621556,0.1434099542892493,0.0035087719298248,0.1100154129050883,0.003508771953476,0.0035087721214777,0.0035087719637182,0.0035087719627804,0.0035087720551766,0.0035087720696797,0.0035087719380165,0.0035087719735002,0.3297343710545769,0.0035087719936058,0.3252463987869599,0.5240878906750762,0.8694777806001814,0.0,0.2487633965375103,0.1811556076626217,sadness,0.6428571428571429
51210,gary moore,trouble ain't far behind,2008,blues,break heart break days know suppose trouble million tear get better pass years think trouble want tell feel word come right leave cry deny turn darkest nights body know exactly trouble trouble,32,0.0017543861457293,0.0017543860538061,0.1424100042998096,0.00175438611262,0.0017543859848493,0.0017543859924152,0.0017543859796833,0.3375098264933075,0.0017543860591031,0.0017543860241608,0.0017543860361865,0.0017543860402657,0.1422198346258295,0.001754386048275,0.3168945066202709,0.0017543861237189,0.4855409942597206,0.73540496884855,0.2740956567225469,0.0066093117408906,0.1292250618301731,0.3433228345069434,sadness,0.1714285714285714
69526,the expanders,hustling culture,2015,reggae,check victim crime check rhythm rhyme legends bear world tear word bond scorn clue talk mind bind best worst time check wisdom peep skull body force constant push take pull expand land soul touch hand bless universe wisdom heal self look inside search speak lurch intellect strong free slave different level understand move wind keep tense help spin control turbulence think thirty dirty pant get lower lower sip soda sofa make heart colder remain bolder eternal burden push away start hurt understand culture see leave vultures bleed virtualization porn starlet kill single woes gimme freaky harlot remain queen want crown sure rupture spleen gleam club demolish fraternity college polish teeth blood bless crud weiner weiner touch swear see get torture daily head snitch gods want cream want dream fulfil bring success team move hyperactive scythe bust mics wrap bore life,140,0.0007017543916095,0.3007509199616135,0.1352700081745478,0.0007017544211529,0.0007017543870274,0.0007017544168131,0.0007017544737692,0.0649553051416482,0.1540239553691671,0.00070175441283,0.0007017544256606,0.0007017544438616,0.0764669865128199,0.0007017544436089,0.1394214919333253,0.0007017544014737,0.7563088920177624,0.7639155962361869,0.0158624657253671,1.2044534412955466e-05,0.9422918384171476,0.8398348376846204,violence,0.0714285714285714
75093,van halen,mine all mine,1988,rock,forgive father sin hell shake hand devil look look like long lose friend want dirty deeds need keepin temporarily satisfy thing try fill inside felt like yeah search go look world keep get smaller star searchin light end blind want claim victory truth real want feel like come word wall look mirror riddle clue east cure kill pain numb brain speak word provin fraud church applaud stop lookin start lookin best friend stand baby searchin,75,0.0241228466619771,0.3074052902905242,0.1015969923197446,0.000892060787351,0.0388082610846038,0.0008920606946573,0.0008920606893933,0.1383755079360248,0.069421778057394,0.0008920606991496,0.0008920607115858,0.0513032969913458,0.0408764688434881,0.1031491231701582,0.0008920607143248,0.0462518113171381,0.539694573811329,0.5845704176601798,0.0116455940216807,0.0100202429149797,0.7671063478977741,0.8738699346766384,violence,0.4571428571428571
23078,dillard & clark,git it on brother,1968,country,listen sinner want someday come know wrong rightened lose brother brother want home knees righten wrong soon sing time song brother want home listen satan rightened wrong buy ticket go home worry sing song brother want home brother want home knees righten wrong soon sing time song brother want home tell brother feel know real pray sing song brother want home brother want home knees righten wrong soon sing time song brother want home,74,0.0007855459844281,0.0007855459763907,0.0007855459761981,0.0719955725443061,0.0007855459593896,0.2653856078583151,0.0007855459566358,0.0496475186848536,0.0007855459743313,0.4047723695470382,0.0007855459818843,0.0007855459605956,0.0007855459682073,0.0007855459627414,0.0007855459773772,0.0482032555858266,0.5256146431279108,0.596697689921288,0.3022081347471232,0.0,0.9041632316570484,0.5445303196656393,music,0.7428571428571429
